Year,State,Contingent/ PDRM District,Type of Crime,Number of Crime
2015,Johor,Batu Pahat,Murder,2
2015,Johor,Batu Pahat,Rape,35
2015,Johor,Batu Pahat,Robbery,112
2015,Johor,Batu Pahat,Causing injury,46
2015,Johor,Iskandar Puteri,Murder,0
2015,Johor,Iskandar Puteri,Rape,0
2015,Johor,Iskandar Puteri,Robbery,0
2015,Johor,Iskandar Puteri,Causing injury,0
2015,Johor,Johor Bahru Selatan,Murder,14
2015,Johor,Johor Bahru Selatan,Rape,48
2015,Johor,Johor Bahru Selatan,Robbery,438
2015,Johor,Johor Bahru Selatan,Causing injury,155
2015,Johor,Johor Bahru Utara,Murder,6
2015,Johor,Johor Bahru Utara,Rape,25
2015,Johor,Johor Bahru Utara,Robbery,233
2015,Johor,Johor Bahru Utara,Causing injury,113
2015,Johor,Kluang,Murder,10
2015,Johor,Kluang,Rape,27
2015,Johor,Kluang,Robbery,51
2015,Johor,Kluang,Causing injury,72
2015,Johor,Kota Tinggi,Murder,3
2015,Johor,Kota Tinggi,Rape,22
2015,Johor,Kota Tinggi,Robbery,49
2015,Johor,Kota Tinggi,Causing injury,12
2015,Johor,Kulaijaya,Murder,7
2015,Johor,Kulaijaya,Rape,15
2015,Johor,Kulaijaya,Robbery,88
2015,Johor,Kulaijaya,Causing injury,33
2015,Johor,Ledang,Murder,1
2015,Johor,Ledang,Rape,12
2015,Johor,Ledang,Robbery,45
2015,Johor,Ledang,Causing injury,24
2015,Johor,Mersing,Murder,1
2015,Johor,Mersing,Rape,13
2015,Johor,Mersing,Robbery,24
2015,Johor,Mersing,Causing injury,9
2015,Johor,Muar,Murder,5
2015,Johor,Muar,Rape,5
2015,Johor,Muar,Robbery,22
2015,Johor,Muar,Causing injury,29
2015,Johor,Nusajaya,Murder,6
2015,Johor,Nusajaya,Rape,13
2015,Johor,Nusajaya,Robbery,131
2015,Johor,Nusajaya,Causing injury,47
2015,Johor,Pontian,Murder,1
2015,Johor,Pontian,Rape,13
2015,Johor,Pontian,Robbery,21
2015,Johor,Pontian,Causing injury,22
2015,Johor,Segamat,Murder,1
2015,Johor,Segamat,Rape,8
2015,Johor,Segamat,Robbery,29
2015,Johor,Segamat,Causing injury,11
2015,Johor,Seri Alam,Murder,17
2015,Johor,Seri Alam,Rape,29
2015,Johor,Seri Alam,Robbery,181
2015,Johor,Seri Alam,Causing injury,77
2015,Kedah,Baling ,Murder,1
2015,Kedah,Baling ,Rape,29
2015,Kedah,Baling ,Robbery,37
2015,Kedah,Baling ,Causing injury,15
2015,Kedah,Bandar Bharu ,Murder,1
2015,Kedah,Bandar Bharu ,Rape,8
2015,Kedah,Bandar Bharu ,Robbery,10
2015,Kedah,Bandar Bharu ,Causing injury,2
2015,Kedah,Kota Setar ,Murder,6
2015,Kedah,Kota Setar ,Rape,42
2015,Kedah,Kota Setar ,Robbery,214
2015,Kedah,Kota Setar ,Causing injury,96
2015,Kedah,Kuala Muda ,Murder,9
2015,Kedah,Kuala Muda ,Rape,40
2015,Kedah,Kuala Muda ,Robbery,187
2015,Kedah,Kuala Muda ,Causing injury,118
2015,Kedah,Kubang Pasu ,Murder,4
2015,Kedah,Kubang Pasu ,Rape,26
2015,Kedah,Kubang Pasu ,Robbery,53
2015,Kedah,Kubang Pasu ,Causing injury,45
